Spreaders,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
California,0.00,2.00,16.00,21.00,1.00,2.00,0.00
NewYork,0.00,0.00,20.00,23.00,0.00,0.00,0.00
Virginia,0.00,0.00,9.00,12.00,0.00,0.00,0.00
Pennsylvania,0.00,0.00,2.00,9.00,0.00,0.00,0.00
Washington,0.00,0.00,13.00,8.00,0.00,0.00,0.00
Michigan,0.00,0.00,17.00,17.00,0.00,0.00,0.00
Illinois,0.00,2.00,1.00,6.00,1.00,8.00,0.00
Florida,0.00,0.00,16.00,18.00,0.00,0.00,0.00


Receivers,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
Maryland,0.00,0.00,11.00,15.00,0.00,0.00,0.00
Florida,0.00,0.00,12.00,13.00,0.00,2.00,0.00
NewYork,0.00,0.00,11.00,8.00,0.00,2.00,1.00
Utah,0.00,1.00,11.00,9.00,0.00,0.00,0.00
Virginia,0.00,0.00,12.00,15.00,0.00,0.00,0.00
Minnesota,0.00,0.00,11.00,13.00,1.00,2.00,0.00
Arizona,0.00,1.00,6.00,8.00,0.00,1.00,0.00
Connecticut,0.00,0.00,7.00,10.00,0.00,1.00,0.00
